"date","home_team","away_team","home_score","away_score","is_completed","p_home","p_draw","p_away","model_pick","actual_outcome","actual_outcome_probability","correct_pick"
"2026-06-11","Mexico","South Africa","2.0","0.0","True","0.8452590182654475","0.10935262532812405","0.0453883564064285","Home win","Home win","0.8452590182654475","True"
"2026-06-11","South Korea","Czech Republic","2.0","1.0","True","0.4324562497293066","0.2635232794245863","0.3040204708461071","Home win","Home win","0.4324562497293066","True"
"2026-06-12","Canada","Bosnia and Herzegovina","1.0","1.0","True","0.7214020915876027","0.18596147815438183","0.09263643025801556","Home win","Draw","0.18596147815438183","False"
"2026-06-12","United States","Paraguay","4.0","1.0","True","0.3769807908985592","0.28879802360178347","0.33422118549965735","Home win","Home win","0.3769807908985592","True"
"2026-06-13","Australia","Turkey","2.0","0.0","True","0.31314148957475557","0.2746742947838996","0.4121842156413447","Away win","Home win","0.31314148957475557","False"
"2026-06-13","Brazil","Morocco","1.0","1.0","True","0.5340049922540999","0.22394657691049452","0.24204843083540561","Home win","Draw","0.22394657691049452","False"
"2026-06-13","Haiti","Scotland","0.0","1.0","True","0.23739796296322838","0.27112734645730435","0.4914746905794673","Away win","Away win","0.4914746905794673","True"
"2026-06-13","Qatar","Switzerland","1.0","1.0","True","0.0719994091733244","0.18096440358236915","0.7470361872443063","Away win","Draw","0.18096440358236915","False"
"2026-06-14","Germany","Curaçao","7.0","1.0","True","0.8480612332249734","0.10713085794783928","0.04480790882718744","Home win","Home win","0.8480612332249734","True"
"2026-06-14","Ivory Coast","Ecuador","1.0","0.0","True","0.15793919011909727","0.23896868600775173","0.6030921238731509","Away win","Home win","0.15793919011909727","False"
"2026-06-14","Netherlands","Japan","2.0","2.0","True","0.383858088991326","0.28128217893396895","0.3348597320747051","Home win","Draw","0.28128217893396895","False"
"2026-06-14","Sweden","Tunisia","5.0","1.0","True","0.4012891200917732","0.2721299507353608","0.326580929172866","Home win","Home win","0.4012891200917732","True"
"2026-06-15","Belgium","Egypt","1.0","1.0","True","0.5530611540064329","0.23867943800547461","0.2082594079880925","Home win","Draw","0.23867943800547461","False"
"2026-06-15","Iran","New Zealand","2.0","2.0","True","0.527017187513165","0.2511022679145836","0.22188054457225148","Home win","Draw","0.2511022679145836","False"
"2026-06-15","Saudi Arabia","Uruguay","1.0","1.0","True","0.1621534428365606","0.24748283486176822","0.5903637223016711","Away win","Draw","0.24748283486176822","False"
"2026-06-15","Spain","Cape Verde","0.0","0.0","True","0.8540383629243077","0.10387590524704199","0.04208573182865032","Home win","Draw","0.10387590524704199","False"
"2026-06-16","Argentina","Algeria","3.0","0.0","True","0.6318343677551507","0.2133886296640802","0.15477700258076915","Home win","Home win","0.6318343677551507","True"
"2026-06-16","Austria","Jordan","3.0","1.0","True","0.5274727575727334","0.24130242591318768","0.23122481651407883","Home win","Home win","0.5274727575727334","True"
"2026-06-16","France","Senegal","3.0","1.0","True","0.5741487094746496","0.22858512686336988","0.19726616366198044","Home win","Home win","0.5741487094746496","True"
"2026-06-16","Iraq","Norway","1.0","4.0","True","0.13743990213502594","0.241485187458935","0.6210749104060391","Away win","Away win","0.6210749104060391","True"
"2026-06-17","England","Croatia","4.0","2.0","True","0.5714330386067602","0.22794876914029916","0.2006181922529407","Home win","Home win","0.5714330386067602","True"
"2026-06-17","Ghana","Panama","1.0","0.0","True","0.2296574940473243","0.2581087942414018","0.5122337117112737","Away win","Home win","0.2296574940473243","False"
"2026-06-17","Portugal","DR Congo","1.0","1.0","True","0.6700936361517272","0.1917586646874277","0.13814769916084516","Home win","Draw","0.1917586646874277","False"
"2026-06-17","Uzbekistan","Colombia","1.0","3.0","True","0.13277910998936934","0.22958368532261883","0.6376372046880119","Away win","Away win","0.6376372046880119","True"
"2026-06-18","Canada","Qatar","6.0","0.0","True","0.820720139224009","0.1277297066926219","0.05155015408336922","Home win","Home win","0.820720139224009","True"
"2026-06-18","Czech Republic","South Africa","1.0","1.0","True","0.50904532122539","0.2521044565852244","0.23885022218938556","Home win","Draw","0.2521044565852244","False"
"2026-06-18","Mexico","South Korea","1.0","0.0","True","0.6343016959591509","0.2165209636105329","0.14917734043031616","Home win","Home win","0.6343016959591509","True"
"2026-06-18","Switzerland","Bosnia and Herzegovina","4.0","1.0","True","0.7164132658821087","0.1796038292839547","0.10398290483393656","Home win","Home win","0.7164132658821087","True"
"2026-06-19","Brazil","Haiti","3.0","0.0","True","0.8467174077810433","0.10679395223311686","0.0464886399858399","Home win","Home win","0.8467174077810433","True"
"2026-06-19","Scotland","Morocco","0.0","1.0","True","0.1960706725883938","0.23188851235881627","0.5720408150527899","Away win","Away win","0.5720408150527899","True"
"2026-06-19","Turkey","Paraguay","0.0","1.0","True","0.34501468830720017","0.2755969931155703","0.37938831857722954","Away win","Away win","0.37938831857722954","True"
"2026-06-19","United States","Australia","2.0","0.0","True","0.43393221288613787","0.27630854404008487","0.2897592430737773","Home win","Home win","0.43393221288613787","True"
"2026-06-20","Ecuador","Curaçao","","","False","0.8546306407499825","0.10331201211204077","0.04205734713797676","Home win","","",""
"2026-06-20","Germany","Ivory Coast","","","False","0.5597986041405535","0.22948194172263392","0.21071945413681248","Home win","","",""
"2026-06-20","Netherlands","Sweden","","","False","0.5740722473551891","0.2507919718018465","0.17513578084296438","Home win","","",""
"2026-06-20","Tunisia","Japan","","","False","0.15558909118073325","0.24423432875939885","0.600176580059868","Away win","","",""
"2026-06-21","Belgium","Iran","","","False","0.5227464454774321","0.24345501502938932","0.23379853949317864","Home win","","",""
"2026-06-21","New Zealand","Egypt","","","False","0.26430279530398415","0.27215176529005286","0.463545439405963","Away win","","",""
"2026-06-21","Spain","Saudi Arabia","","","False","0.8376224433192319","0.11643779984925882","0.045939756831509394","Home win","","",""
"2026-06-21","Uruguay","Cape Verde","","","False","0.7757023394679943","0.14525366984882895","0.07904399068317665","Home win","","",""
"2026-06-22","Argentina","Austria","","","False","0.7070671351190193","0.18620951535519115","0.10672334952578957","Home win","","",""
"2026-06-22","France","Iraq","","","False","0.7875570616505051","0.1460922330970689","0.06635070525242605","Home win","","",""
"2026-06-22","Jordan","Algeria","","","False","0.17462151258853947","0.23592894422350436","0.5894495431879562","Away win","","",""
"2026-06-22","Norway","Senegal","","","False","0.41318828591023793","0.2499392311560376","0.3368724829337244","Home win","","",""
"2026-06-23","Colombia","DR Congo","","","False","0.7294675172527776","0.16803877775928053","0.102493704987942","Home win","","",""
"2026-06-23","England","Ghana","","","False","0.8274709021490706","0.1262861791805677","0.046242918670361746","Home win","","",""
"2026-06-23","Panama","Croatia","","","False","0.2173415146522801","0.258950333161106","0.5237081521866139","Away win","","",""
"2026-06-23","Portugal","Uzbekistan","","","False","0.6620670194561701","0.19737835872670412","0.14055462181712589","Home win","","",""
"2026-06-24","Bosnia and Herzegovina","Qatar","","","False","0.4805585108933744","0.2597760090976889","0.2596654800089367","Home win","","",""
"2026-06-24","Canada","Switzerland","","","False","0.3801621202017474","0.28567759750744826","0.3341602822908044","Home win","","",""
"2026-06-24","Mexico","Czech Republic","","","False","0.7388467785198962","0.16313718545726408","0.0980160360228397","Home win","","",""
"2026-06-24","Morocco","Haiti","","","False","0.7106949172076416","0.18700487339998592","0.10230020939237237","Home win","","",""
"2026-06-24","Scotland","Brazil","","","False","0.13030142332872785","0.21848517146640709","0.6512134052048651","Away win","","",""
"2026-06-24","South Africa","South Korea","","","False","0.1841603572173591","0.260728171584269","0.5551114711983718","Away win","","",""
"2026-06-25","Curaçao","Ivory Coast","","","False","0.13378579243583635","0.20842493383953992","0.6577892737246236","Away win","","",""
"2026-06-25","Ecuador","Germany","","","False","0.3123305877150068","0.28034866858269236","0.4073207437023008","Away win","","",""
"2026-06-25","Japan","Sweden","","","False","0.6203484352908936","0.2296954694716387","0.14995609523746772","Home win","","",""
"2026-06-25","Paraguay","Australia","","","False","0.3878639405506991","0.2555618355569321","0.3565742238923688","Home win","","",""
"2026-06-25","Tunisia","Netherlands","","","False","0.1285788176458103","0.24462545319848228","0.6267957291557076","Away win","","",""
"2026-06-25","United States","Turkey","","","False","0.36273783365323087","0.27324299079237535","0.36401917555439384","Away win","","",""
"2026-06-26","Cape Verde","Saudi Arabia","","","False","0.21577901020247978","0.2555918513407593","0.528629138456761","Away win","","",""
"2026-06-26","Egypt","Iran","","","False","0.26245421588737844","0.28301099882220154","0.45453478529041996","Away win","","",""
"2026-06-26","New Zealand","Belgium","","","False","0.13595604633681277","0.21247917545562284","0.6515647782075643","Away win","","",""
"2026-06-26","Norway","France","","","False","0.1907036705048793","0.24569079251720977","0.5636055369779108","Away win","","",""
"2026-06-26","Senegal","Iraq","","","False","0.5609721578571722","0.23736131860809764","0.20166652353473","Home win","","",""
"2026-06-26","Uruguay","Spain","","","False","0.15451351242623626","0.22698323539166482","0.6185032521820989","Away win","","",""
"2026-06-27","Algeria","Austria","","","False","0.35189386693443314","0.29855163233174964","0.34955450073381716","Home win","","",""
"2026-06-27","Colombia","Portugal","","","False","0.3554437380627561","0.2616256354151671","0.38293062652207677","Away win","","",""
"2026-06-27","Croatia","Ghana","","","False","0.6736849377472364","0.21613856806188037","0.11017649419088317","Home win","","",""
"2026-06-27","DR Congo","Uzbekistan","","","False","0.28741265587649595","0.2837692824676902","0.4288180616558138","Away win","","",""
"2026-06-27","Jordan","Argentina","","","False","0.08505095005736577","0.1806186734929908","0.7343303764496433","Away win","","",""
"2026-06-27","Panama","England","","","False","0.11543854072416099","0.21370716982763707","0.6708542894482018","Away win","","",""
